,gamma,A,beta,dv,dtheta,Pwin
356,1.2,0.6080000000000001,5.2,-0.00034463782083449246,-11.981222033363785,0
357,1.2,0.6080000000000001,5.2,0.011848180934834668,-12.817942271720902,0
358,1.2,0.6080000000000001,5.2,0.015322132407764283,-13.50399943958569,1
359,1.2,0.6080000000000001,5.2,0.002688306541056562,-12.963142309886962,1
360,1.2,0.6080000000000001,5.2,0.006822714886293962,-12.498323093281577,1
361,1.2,0.6080000000000001,5.2,0.002536160519100744,-12.044224836934127,1
362,1.2,0.6080000000000001,5.2,0.0116774420022967,-13.086112109349493,1
363,1.2,0.6080000000000001,5.2,0.014351558296867323,-13.090147770497929,1
364,1.2,0.6080000000000001,5.2,0.01350851696766478,-13.087995013299235,1
365,1.2,0.6080000000000001,5.2,0.004424442144354501,-12.23964438563182,1
366,1.2,0.6080000000000001,5.2,0.011575951603271684,-13.574734636937265,1
367,1.2,0.6080000000000001,5.2,0.004553556886343457,-12.496142356074486,1
368,1.2,0.6080000000000001,5.2,-0.008305247354064349,-10.799981534524292,0
369,1.2,0.6080000000000001,5.2,0.00831098420182444,-13.0847069700013,1
370,1.2,0.6080000000000001,5.2,-0.003314753912957741,-11.00610008001361,1
371,1.2,0.6080000000000001,5.2,0.0034942151212724315,-12.66059816251515,0
372,1.2,0.6080000000000001,5.2,0.006008355560460754,-12.819865172224773,1
373,1.2,0.6080000000000001,5.2,0.01875419861462846,-14.229773757115701,1
374,1.2,0.6080000000000001,5.2,0.020078179407366198,-14.276095011065081,1
375,1.2,0.6080000000000001,5.2,0.015354925133402392,-13.796641628479385,1
